,COUNTRY,Private Credit (domestic),Trade Openness,Account Balance,Labels
139,Netherlands,82.3320940898509,153.83065216636,9.12996820020418,5
116,Luxembourg,85.1436082593373,351.267921153192,4.39539454622425,5
123,Malta,61.9195849800298,218.170552427881,7.11978891680917,5
109,Latvia,29.5395677827529,132.262507895925,-1.57465157670388,5
115,Lithuania,35.9687269117612,143.04839086338,3.26568276980857,5
86,"Hong Kong SAR, China",231.037771669122,359.506710667464,12.9150749330683,5
126,Mauritius,69.8658565887007,145.421700301153,-7.02920844583031,5
174,Slovenia,35.4165073993057,155.657928684474,4.55086826535468,5
173,Slovak Republic,59.6509018833935,171.212800151635,-4.61427189349135,5
145,North Macedonia,53.9265036277025,136.324876175556,-2.10020379038667,5
53,Denmark,144.093102209921,131.765030975207,12.2782622922388,6
117,"Macao SAR, China",129.630265117215,142.07943455076,36.2912950353171,6
